date,Zip_Clean,PRCP,SNOW,zip3,TMAX.F,TMIN.F,season,study_year_idx
2005-06-01,50149,45.58620689655172,0,501,NA,NA,summer,1
2005-06-01,50158,56.793103448275865,0,501,83.37137931034482,62.004137931034485,summer,1
2005-06-01,50171,39,0,501,NA,NA,summer,1
2005-06-01,50208,44.275862068965516,0,502,84.78965517241379,62.482068965517236,summer,1
2005-06-01,50213,61.172413793103445,0,502,85.19,61.57785714285714,summer,1
2005-06-01,50219,39.689655172413794,0,502,NA,NA,summer,1
2005-06-01,50220,47.13793103448276,0,502,83.70965517241379,62.51931034482759,summer,1
2005-06-01,50228,31.482758620689655,NA,502,83.21000000000001,63.382068965517234,summer,1
2005-06-01,50271,47.758620689655174,0,502,NA,NA,summer,1
2005-06-01,50273,32.10344827586207,0,502,82.48068965517241,62.215172413793105,summer,1
2005-06-01,50278,55.3448275862069,0,502,NA,NA,summer,1
2005-06-01,50321,41.03448275862069,0,503,84.5351724137931,64.82206896551725,summer,1
2005-06-01,50401,61.258620689655174,0,504,82.11714285714287,60.74666666666666,summer,1
2005-06-01,50423,42.48275862068966,0,504,81.34482758620689,62.86689655172414,summer,1
2005-06-01,50428,58.689655172413794,0,504,83.07034482758621,61.51379310344827,summer,1
2005-06-01,50436,43.41379310344828,0,504,82.49931034482759,63.06551724137931,summer,1
2005-06-01,50441,88.20689655172414,0,504,83.24857142857142,61.21142857142857,summer,1
2005-06-01,50447,38.10344827586207,0,504,NA,NA,summer,1
2005-06-01,50450,38.6551724137931,0,504,NA,NA,summer,1
2005-06-01,50459,36.724137931034484,0,504,81.24551724137932,61.05448275862069,summer,1
2005-06-01,50461,57.62068965517241,0,504,81.7296551724138,60.930344827586204,summer,1
2005-06-01,50480,35.48275862068966,0,504,NA,NA,summer,1
2005-06-01,50501,84.96551724137932,0,505,83.13241379310345,61.40206896551724,summer,1
2005-06-01,50511,37.51724137931034,0,505,80.97862068965517,61.94827586206897,summer,1
2005-06-01,50525,69.54166666666667,0,505,86.22090909090909,61.86363636363636,summer,1
2005-06-01,50536,39.37931034482759,0,505,83.1448275862069,63.17724137931034,summer,1
2005-06-01,50548,77.65517241379311,0,505,80.29586206896552,61.82413793103448,summer,1
2005-06-01,50574,64.06896551724138,0,505,83.44896551724138,62.55655172413793,summer,1
2005-06-01,50579,61.96551724137931,0,505,81.18344827586206,61.12275862068966,summer,1
2005-06-01,50583,79.27586206896552,0,505,82.3006896551724,61.1351724137931,summer,1
2005-06-01,50585,37.827586206896555,0,505,81.4503448275862,61.854285714285716,summer,1
2005-06-01,50588,74.48275862068965,0,505,81.8848275862069,62.351724137931036,summer,1
2005-06-01,50590,31.416666666666668,0,505,83.89727272727274,61.79818181818182,summer,1
2005-06-01,50595,54.827586206896555,0,505,83.28137931034482,61.44551724137931,summer,1
2005-06-01,50602,77.62068965517241,0,506,84.0696551724138,62.904137931034484,summer,1
2005-06-01,50616,79.37931034482759,0,506,83.56068965517241,62.027857142857144,summer,1
2005-06-01,50621,259.6363636363636,0,506,NA,NA,summer,1
2005-06-01,50625,59.310344827586206,0,506,NA,NA,summer,1
2005-06-01,50627,67.10344827586206,0,506,84.10068965517242,62.05379310344827,summer,1
2005-06-01,50628,70.24137931034483,0,506,NA,NA,summer,1
2005-06-01,50632,58.51724137931034,0,506,NA,NA,summer,1
