study_year_idx,zip3,total_flu_diag,total_ILI,total_vacc,total_AsmAtck,total_Asma,total_labpos,total_labtest,flu_diag_lab,ILI_diag_lab
11,504,200,6893,8036,51,516,7,14,207,6900
11,505,175,6673,8658,134,706,18,22,193,6691
11,506,180,6917,9422,101,481,51,71,231,6968
11,507,86,4180,5975,134,552,21,34,107,4201
11,508,23,1202,1902,15,95,3,4,26,1205
11,510,145,4260,4649,34,283,10,11,155,4270
11,511,100,3940,4919,52,487,2,2,102,3942
11,512,109,3327,4409,34,173,8,9,117,3335
11,513,65,3083,3372,63,226,4,9,69,3087
11,514,103,3553,4621,53,237,2,3,105,3555
11,515,92,3545,5590,33,421,25,29,117,3570
11,516,7,985,828,5,57,0,0,7,985
11,520,167,6738,9388,70,720,9,28,176,6747
11,521,39,1960,4640,28,216,3,3,42,1963
11,522,181,8080,10160,100,909,7,13,188,8087
11,523,167,6169,7335,90,529,7,7,174,6176
11,524,237,8531,9883,167,1084,59,96,296,8590
11,525,148,5466,4496,62,404,22,136,170,5488
11,526,135,5986,5198,67,467,18,39,153,6004
11,527,100,3951,4983,80,385,5,20,105,3956
11,528,52,2431,2362,71,480,0,0,52,2431
12,500,39,3356,9384,0,0,151,211,190,3507
12,501,19,2681,5976,0,0,41,91,60,2722
12,502,48,3409,10250,0,0,26,55,74,3435
12,503,47,4913,12639,0,0,17,23,64,4930
12,504,55,2701,5241,0,0,21,67,76,2722
12,505,21,2654,5970,0,0,57,101,78,2711
12,506,41,2914,6673,0,0,72,137,113,2986
12,507,10,1839,4105,0,0,64,85,74,1903
12,508,8,523,1239,0,0,21,33,29,544
12,510,41,1600,3561,0,0,12,12,53,1612
12,511,12,1481,3466,0,0,4,4,16,1485
12,512,6,1525,3741,0,0,19,24,25,1544
12,513,10,1252,2213,0,0,19,44,29,1271
12,514,3,1237,3112,0,0,6,8,9,1243
12,515,16,1518,4082,0,0,73,81,89,1591
12,516,2,530,648,0,0,10,11,12,540
12,520,35,2969,6527,0,0,36,81,71,3005
12,521,17,789,3163,0,0,18,28,35,807
12,522,34,3505,7204,0,0,45,68,79,3550
12,523,27,2354,5164,0,0,31,40,58,2385
12,524,38,3960,6981,0,0,162,205,200,4122
12,525,25,2149,2507,0,0,46,232,71,2195
12,526,8,2503,3704,0,0,52,77,60,2555
12,527,7,1790,2961,0,0,11,16,18,1801
12,528,6,1065,1627,0,0,0,0,6,1065
