zip3,study_year_idx,totalAvgAbove2,sd_avgAvgAbove,countAvgAbove,totalMaxAbove2,sd_avgMaxAbove,countMaxAbove,totalMinAbove2,sd_avgMinAbove,countMinAbove,total_AvgMaxConsec,sd_AvgMaxConsec,count_MaxConsec,total_AvgDaysConsec,sd_AvgDaysConsec,count_total_DaysConsec,n
521,13,0.6666666666666667,0.16792454614693236,4,1.0833333333333333,0.2174761490850788,6.5,0.5833333333333334,0.16839382851364082,3.5,12.5,0.14433756729740643,75,0.6666666666666667,0.1679245461469323,4,12
521,14,9.4375,0.8130340125453274,70.16666666666667,10.958333333333334,0.9625761553966895,81.16666666666667,7.020833333333333,0.6119391486127834,53.166666666666664,16.333333333333332,0.6095703430174566,119,9.020833333333334,0.7573743682235194,67.16666666666667,9
522,3,48.8,1.2828539611796375,244,51.2,1.743013263889647,256,46.6,0.8847921466972584,233,50.8,0.5623081683476384,254,48.6,1.2946777499402997,243,7
522,4,80,1.3054663627387812,400,83.2,1.5405626677721789,416,76.4,0.9490026662797427,382,85.4,0.9123728637044408,427,79.6,1.3261930020882624,398,12
522,5,75.6,1.0251385715643964,378,78.8,1.1243853539789745,394,73.2,0.8067893720848651,366,82.4,0.8835191342614267,412,74.8,1.0333822080328208,374,12
522,6,79.8,0.8273726213414697,399,84.2,1.2719586423617661,421,76.8,0.6149648918286459,384,85.6,0.38455011101128017,428,78.8,0.7761599335344761,394,12
522,7,74.8,0.3498917581542076,374,76,0.4696871944241833,380,73.8,0.1732050807568879,369,83.4,0.1732050807568879,417,74.4,0.2954195783503986,372,12
522,8,75.8,0.6176691278630909,379,77.2,0.8773237542076296,386,74.8,0.46580006115252603,374,84.4,0.46580006115252587,422,75.4,0.5749835307259334,377,12
522,9,75.9,0.923555382992566,372,77.9,1.1244864147555083,382,74.1,0.8357087356903068,363,83.85,0.81801450309436885,411,75.5,0.9356167954236327,370,12
522,10,66.83333333333333,1.0404406926955685,368,69.3,1.333494308464446,380.5,66.26666666666667,1.0145739348910308,365,75.5,0.9171899332948295,417,66.46666666666667,1.0318007533495963,366,12
522,11,65.66666666666667,1.1499524217942987,394,68.75,1.3442380779091962,412.5,63.833333333333336,1.0111957451536449,383,73.66666666666667,1.0171095243442492,442,65,1.155793487548094,390,12
522,12,60,0.8195835355332437,360,61.75,0.9588272771853893,370.5,59.16666666666667,0.7864327250162159,355,69,0.7768753783814708,414,59.5,0.8199685877205816,357,12
522,13,51.535714285714285,0.6350156066235971,367,51.910714285714285,0.6077056056373576,370,51.410714285714285,0.6478935559434315,366,61.726190476190474,0.6282400726489973,441,51.410714285714285,0.6478935559434315,366,12
522,14,37.125,2.1485823814785414,340.5,38.49375,2.3918073056791176,354,35.675,1.873754215768736,326,42.1,1.5692078238539484,383.25,37.025,2.1323443345555404,339.5,9
523,3,107,0.48795003647426666,214,107,0.48795003647426666,214,107,0.48795003647426666,214,110.5,0.4879500364742666,221,107,0.4879500364742666,214,7
523,4,179,0.6336522323129238,358,180,0.7071067811865476,360,179,0.6336522323129238,358,185,0.6336522323129238,370,179,0.6336522323129238,358,12
523,5,176.5,0.7821396449755148,353,176.5,0.7821396449755148,353,176.5,0.7821396449755148,353,182.5,0.7821396449755147,365,176.5,0.7821396449755147,353,12
523,6,182,0.5365433699886598,364,182,0.5365433699886598,364,182,0.5365433699886598,364,188,0.5365433699886598,376,182,0.5365433699886598,364,12
523,7,143.5,4.109071634441252,287,143.5,4.109071634441252,287,143.5,4.109071634441252,287,149.5,4.109071634441251,299,143.5,4.109071634441251,287,12
523,8,180,0.7687061147858074,360,180,0.7687061147858074,360,180,0.7687061147858074,360,186,0.7687061147858074,372,180,0.7687061147858074,360,12
523,9,172.5,2.8613807855648994,345,172.5,2.8613807855648994,345,172,2.847114435013213,344,178,2.847114435013213,356,172,2.847114435013213,344,12
523,10,174,1.7320508075688772,348,175,1.7943514064131836,350,174,1.7320508075688772,348,179.5,1.6983726613937522,359,173.5,1.6983726613937522,347,12
523,11,134.33333333333334,2.387714063948707,358,134.83333333333334,2.4725343123859624,359,134.33333333333334,2.387714063948707,358,141.83333333333334,2.3153618882154627,379,134.33333333333334,2.387714063948707,358,12
523,12,136,2.260776661041756,363,136,2.260776661041756,363,136,2.260776661041756,363,143.5,2.187112158980329,384,136,2.260776661041756,363,12
523,13,50.714285714285715,2.558997731096122,245,50.714285714285715,2.558997731096122,245,50.54761904761905,2.569648420480654,244,60.89285714285714,2.486845027558939,301,50.54761904761905,2.569648420480654,244,12
523,14,32.16666666666667,2.6713644962088083,193,34.75,3.174332825790152,208.5,29.583333333333336,2.1266787123773567,177.5,36.083333333333336,1.7212138625091964,216.5,31.25,2.541325113662818,187.5,9
524,3,6,1.5735915849388862,6,7,1.7320508075688772,7,4,1.1338934190276817,4,11,1.1338934190276817,11,6,1.5735915849388864,6,7
524,4,6,1.7320508075688772,6,9,2.3011854652449344,9,6,1.7320508075688772,6,17,1.4433756729740645,17,6,1.7320508075688772,6,12
524,5,7,2.0207259421636903,7,8,2.0150945537631877,8,5,1.4433756729740643,5,18,1.7320508075688772,18,7,2.0207259421636903,7,12
524,6,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,12
524,7,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,12
524,8,1,0.28867513459481287,1,1,0.28867513459481287,1,0,0,0,12,0,12,0,0,0,12
524,9,13,2.609713789020946,13,16,3.2286595398465936,16,10,2.1248885888797826,10,17,0.9962049198956219,17,13,2.6097137890209456,13,12
524,10,12,2.335496832484569,12,12,2.335496832484569,12,9,1.764549903980152,9,21,1.764549903980152,21,12,2.335496832484569,12,12
