Station_ID,dec_lat_va,dec_long_v,Zip_Clean
5387440,43.40691316,-91.8990464,52101
5387490,43.2913611,-91.8093215,52101
5387500,43.3048888,-91.7955429,52101
6809210,41.3461012,-95.0769355,50022
5464315,42.1708283,-92.0237917,52349
5464000,42.4955419,-92.3343516,50703
5458000,43.03328014,-92.5035435,50645
5412500,42.7399884,-91.261799,52048
6607200,42.1569338,-95.810007,51034
5484600,41.53171179,-93.7819729,50266
5418720,42.1638611,-90.3350833,52031
4.22E+14,42.26084897,-90.4226284,52031
5469860,42.31442529,-93.639938,50130
5448400,43.1024617,-93.7846643,50423
5453520,41.71529327,-91.5301698,52240
5454000,41.7000165,-91.4876684,52240
5455010,41.65140608,-91.5076675,52240
5455100,41.60640518,-91.61572419,52240
5454500,41.6566832,-91.5410017,52246
6483495,43.24525718,-96.177523,51239
5488110,41.36055325,-92.9732556,50138
5488200,41.30055336,-93.0454805,50138
6600500,42.5766596,-96.3114156,51024
5485605,41.7173771,-93.5701332,50021
4.05E+14,40.7980949,-91.0918115,52601
6485950,42.52443909,-96.480503,51109
